Gendertopic Annotations;;;
;;;
Group;/neutral;/weiblich;/männlich
Total;4545;2922;652
Aquamarin;95;39;
Submarin;100;46;
Ultramarin;77;43;
Burning Magic 1;126;117;
Burning Magic 2;156;119;
Burning Magic 3;171;132;
Der verwaiste Thron I – Sturm;217;145;94
Der verwaiste Thron II – Verrat;275;164;91
Der verwaiste Thron III – Rache;263;169;78
Die Silbermeer-Saga;450;485;
Die Stadt der gläsernen Träume;459;244;
Die Tochter der Midgardschlange;277;;
Emba – Bittersüße Lüge;65;95;
Emba – Magische Wahrheit;110;148;
Faye – Herz aus Licht und Lava;90;124;
Flammen über Arcadion;69;230;
Im Schatten des Mondkaisers;117;228;
Imperium der Drachen (01) – Das Blut des schwarzen Löwen;95;88;112
Imperium der Drachen (02) – Kampf um Aidra;181;115;83
Mingus;116;33;
Terra 1;86;;
Terra 2;75;;
Terra 3;96;;
Terra 4;143;;
Thor;145;;194
Zauber der Elemente 1;155;61;
Zauber der Elemente 2;170;43;
Zauber der Elemente 3;166;54;
