;Aquamarin_-_Andreas_Eschbach;Burning_Magic_1;Burning_Magic_2;Burning_Magic_3;Der_verwaiste_Thron_I_-_Sturm_-_Claudia_Kern;Der_verwaiste_Thron_II_-_Verrat_-_Claudia_Kern;Der_verwaiste_Thron_III_-_Rache_-_Claudia_Kern;Die_Stadt_der_glasernen_Traume_-_Linda_Rottler;Die_Tochter_der_Midgardschlange_-_Wolfgang_Hohlbein;Emba___Bittersusse_Luge_-_Carina_Zacharias;Emba___Magische_Wahrheit_-_Carina_Zacharias;Flammen_uber_Arcadion_-_Bernd_Perplies;Im_Schatten_des_Mondkaisers_-_Bernd_Perplies;Imperium_der_Drachen_-_Das_Blut_des_schwar_-_Bernd_Perplies;Imperium_der_Drachen_02_-_Kampf_um_Aidra_-_Bernd_Perplies;Katharina_Hartwell__Die_Silbermeer-Saga;Katharina_Herzog_Faye_-_Herz_aus_Licht_und_Lava;Mingus_-_Waberer_Keto_von;Submarin_-_Andreas_Eschbach;Terra_1;Terra_2;Terra_3;Terra_4;Thor_-_Wolfgang_Hohlbein;Ultramarin_-_Andreas_Eschbach_Kopie;Unruh_Magic_of_the_Elements_1;Unruh_Magic_of_the_Elements_2;Unruh_Magic_of_the_Elements_3
Aquamarin_-_Andreas_Eschbach;1.0;0.20952165690000002;0.2122228246;0.2029526349;0.1583179201;0.1337380268;0.1314343625;0.2179768433;0.1869085923;0.2746885029;0.257996596;0.2678059751;0.25962568610000003;0.2134012606;0.1940319304;0.197994471;0.3896011205;0.8472141213000001;0.9921044512;0.1369440245;0.1014427407;0.1062297703;0.1102577401;0.1757280149;0.9943367591000001;0.2216564302;0.2043370098;0.2132150394
Burning_Magic_1;0.20952165690000002;1.0;0.9987607789;0.9927660982000001;0.33547185960000003;0.30304799990000003;0.3228710502;0.9821146811;0.3020778341;0.49423005270000003;0.4622199394;0.4225518594;0.40767123190000004;0.3827364687;0.34653260620000004;0.34029548200000004;0.5981163989;0.31427190400000005;0.20663619930000002;0.4001882136;0.3485001837;0.3552912829;0.3617811589;0.3333559714;0.23676568450000002;0.405380465;0.3756557534;0.3963648939
Burning_Magic_2;0.2122228246;0.9987607789;1.0;0.9960262684000001;0.3336081692;0.3017635172;0.32291713520000004;0.9773706294000001;0.2995877964;0.5020654748;0.4693549259;0.4268502202;0.4106493444;0.384975699;0.3469420983;0.3304838148;0.6104264327000001;0.3003850343;0.20862455300000002;0.3959239983;0.34416817040000003;0.35180530730000004;0.35776030670000003;0.33436767700000003;0.24069796970000001;0.4124265133;0.38125678690000003;0.40301765030000003
Burning_Magic_3;0.2029526349;0.9927660982000001;0.9960262684000001;1.0;0.33664333420000003;0.3047965286;0.3272420806;0.9753217752000001;0.3145842176;0.5155402167;0.48474277120000003;0.4425802284;0.4264221281;0.40649875690000004;0.3653491499;0.3241258547;0.6057616481;0.2680458197;0.2072336049;0.4238710442;0.3757748596;0.3849711203;0.3896395493;0.3557102672;0.2393214179;0.4186261605;0.3861793107;0.40921489600000005
Der_verwaiste_Thron_III_-_Rache_-_Claudia_Kern;0.1314343625;0.3228710502;0.32291713520000004;0.3272420806;0.997255462;0.9989757192000001;1.0;0.3729448785;0.30476871720000004;0.3357722396;0.3406802248;0.39027644440000003;0.403965102;0.4727257386;0.4591043032;0.3823306449;0.38733983720000004;0.3346769509;0.1453501671;0.2667597498;0.260248608;0.2757122394;0.2692515036;0.3964284032;0.1666867001;0.2233347564;0.21385776050000002;0.2031824704
Der_verwaiste_Thron_II_-_Verrat_-_Claudia_Kern;0.1337380268;0.30304799990000003;0.3017635172;0.3047965286;0.9970524115;1.0;0.9989757192000001;0.355715922;0.295412428;0.3208303619;0.3261810805;0.3778510285;0.3924298941;0.4594863039;0.44848756580000004;0.3748234374;0.3683254352;0.336243424;0.14739037100000002;0.25111582720000003;0.2448642952;0.2595847897;0.25303446150000003;0.3829285528;0.1670083394;0.2092679574;0.20096286060000002;0.1897388898
Der_verwaiste_Thron_I_-_Sturm_-_Claudia_Kern;0.1583179201;0.33547185960000003;0.3336081692;0.33664333420000003;1.0;0.9970524115;0.997255462;0.3925796512;0.3301205231;0.35945667870000003;0.3645196307;0.4189954936;0.4329602359;0.5078202106;0.4929088636;0.41053467590000003;0.41177146410000004;0.3747496656;0.172657907;0.2752720434;0.26644788950000003;0.2822641714;0.2751848561;0.4211970887;0.1939477558;0.2360186299;0.22591229880000002;0.2151454097
Die_Stadt_der_glasernen_Traume_-_Linda_Rottler;0.2179768433;0.9821146811;0.9773706294000001;0.9753217752000001;0.3925796512;0.355715922;0.3729448785;1.0;0.36023064800000004;0.4987679139;0.4728297642;0.46673251260000004;0.45783863690000004;0.45882962650000003;0.4176843448;0.3780733786;0.5753932166;0.3396445724;0.22763159870000002;0.3955877466;0.3516715314;0.3612723813;0.3632577568;0.41081822360000003;0.2552539279;0.3710038685;0.3452275171;0.3592942867
Die_Tochter_der_Midgardschlange_-_Wolfgang_Hohlbein;0.1869085923;0.3020778341;0.2995877964;0.3145842176;0.3301205231;0.295412428;0.30476871720000004;0.36023064800000004;1.0;0.36732597850000004;0.3691865635;0.3993149548;0.40919448700000005;0.4303517591;0.3907265748;0.3250153364;0.3743416594;0.3003648148;0.2159404841;0.2400075519;0.219093942;0.2334355421;0.23219227320000002;0.97639708;0.2297243287;0.2367237767;0.2212468804;0.2279663533
Emba___Bittersusse_Luge_-_Carina_Zacharias;0.2746885029;0.49423005270000003;0.5020654748;0.5155402167;0.35945667870000003;0.3208303619;0.3357722396;0.4987679139;0.36732597850000004;1.0;0.9979036813000001;0.49552171200000006;0.4801280667;0.45753432780000003;0.4141232004;0.35406689700000005;0.61138214;0.3512245437;0.27586270220000003;0.36020074150000003;0.3195314381;0.3331661473;0.3309248394;0.4049810125;0.30945325700000004;0.4000490434;0.36550675800000004;0.38627617550000004
Emba___Magische_Wahrheit_-_Carina_Zacharias;0.257996596;0.4622199394;0.4693549259;0.48474277120000003;0.3645196307;0.3261810805;0.3406802248;0.4728297642;0.3691865635;0.9979036813000001;1.0;0.48688457760000003;0.4735180436;0.4613320515;0.4185639566;0.3588526215;0.5783696834000001;0.34440441120000004;0.26492047350000003;0.34445708140000003;0.3076558672;0.3218945234;0.3195437278;0.4094204406;0.2957646524;0.383973002;0.351523154;0.3705181584
Flammen_uber_Arcadion_-_Bernd_Perplies;0.2678059751;0.4225518594;0.4268502202;0.4425802284;0.4189954936;0.3778510285;0.39027644440000003;0.46673251260000004;0.3993149548;0.49552171200000006;0.48688457760000003;1.0;0.9988716015;0.5475578096;0.4928853616;0.3770510077;0.5566802577000001;0.3531082112;0.28086476390000004;0.3298623261;0.303151742;0.3196210685;0.3103536672;0.4643280578;0.3115560222;0.343333111;0.31548077620000003;0.3255054183
Im_Schatten_des_Mondkaisers_-_Bernd_Perplies;0.25962568610000003;0.40767123190000004;0.4106493444;0.4264221281;0.4329602359;0.3924298941;0.403965102;0.45783863690000004;0.40919448700000005;0.4801280667;0.4735180436;0.9988716015;1.0;0.5542723705;0.5011227814;0.38128367300000005;0.5331125726;0.3551746844;0.2757649336;0.3240068211;0.29993276620000003;0.31641986180000004;0.3070922313;0.4752134072;0.30449758660000004;0.32719478620000003;0.30140294900000003;0.3094180894
Imperium_der_Drachen_-_Das_Blut_des_schwar_-_Bernd_Perplies;0.2134012606;0.3827364687;0.384975699;0.40649875690000004;0.5078202106;0.4594863039;0.4727257386;0.45882962650000003;0.4303517591;0.45753432780000003;0.4613320515;0.5475578096;0.5542723705;1.0;0.9937087051000001;0.4065569181;0.4857289509;0.3383489678;0.243091153;0.31691968870000004;0.3057330414;0.3264330804;0.3134740924;0.5284374945;0.2678707161;0.2847612124;0.2646448219;0.2638794808
Imperium_der_Drachen_02_-_Kampf_um_Aidra_-_Bernd_Perplies;0.1940319304;0.34653260620000004;0.3469420983;0.3653491499;0.4929088636;0.44848756580000004;0.4591043032;0.4176843448;0.3907265748;0.4141232004;0.4185639566;0.4928853616;0.5011227814;0.9937087051000001;1.0;0.3797763521;0.43409009740000004;0.3213598273;0.2220703732;0.2855573879;0.2750141022;0.293460631;0.2821862144;0.4770963106;0.2429371344;0.25723710180000003;0.23969683900000002;0.2386583459
Katharina_Hartwell__Die_Silbermeer-Saga;0.197994471;0.34029548200000004;0.3304838148;0.3241258547;0.41053467590000003;0.3748234374;0.3823306449;0.3780733786;0.3250153364;0.35406689700000005;0.3588526215;0.3770510077;0.38128367300000005;0.4065569181;0.3797763521;1.0;0.6811418638000001;0.44464664740000004;0.2117005937;0.2591922303;0.2390187402;0.2489986881;0.251147518;0.3651469579;0.2219964358;0.26053528940000004;0.24963143310000002;0.24679593870000002
Katharina_Herzog_Faye_-_Herz_aus_Licht_und_Lava;0.3896011205;0.5981163989;0.6104264327000001;0.6057616481;0.41177146410000004;0.3683254352;0.38733983720000004;0.5753932166;0.3743416594;0.61138214;0.5783696834000001;0.5566802577000001;0.5331125726;0.4857289509;0.43409009740000004;0.6811418638000001;1.0;0.45451660330000004;0.34935898590000003;0.432542038;0.37430582960000003;0.387335541;0.38237848750000003;0.4208131778;0.4016432217;0.5088590638;0.4653529246;0.4868638387
Mingus_-_Waberer_Keto_von;0.8472141213000001;0.31427190400000005;0.3003850343;0.2680458197;0.3747496656;0.336243424;0.3346769509;0.3396445724;0.3003648148;0.3512245437;0.34440441120000004;0.3531082112;0.3551746844;0.3383489678;0.3213598273;0.44464664740000004;0.45451660330000004;1.0;0.8368312046;0.2128508183;0.17319005680000002;0.1773708065;0.18694367;0.2975084575;0.8374144511;0.28012368860000003;0.27110253;0.2667299363
Submarin_-_Andreas_Eschbach;0.9921044512;0.20663619930000002;0.20862455300000002;0.2072336049;0.172657907;0.14739037100000002;0.1453501671;0.22763159870000002;0.2159404841;0.27586270220000003;0.26492047350000003;0.28086476390000004;0.2757649336;0.243091153;0.2220703732;0.2117005937;0.34935898590000003;0.8368312046;1.0;0.1471326816;0.11774557520000001;0.1242957361;0.1280275367;0.2103920701;0.9974778065000001;0.2060029787;0.1900298085;0.19836378910000002
Terra_1;0.1369440245;0.4001882136;0.3959239983;0.4238710442;0.2752720434;0.25111582720000003;0.2667597498;0.3955877466;0.2400075519;0.36020074150000003;0.34445708140000003;0.3298623261;0.3240068211;0.31691968870000004;0.2855573879;0.2591922303;0.432542038;0.2128508183;0.1471326816;1.0;0.9959299407000001;0.995087708;0.9960975234;0.2753447759;0.1689509516;0.2918102212;0.2667535724;0.2785910485
Terra_2;0.1014427407;0.3485001837;0.34416817040000003;0.3757748596;0.26644788950000003;0.2448642952;0.260248608;0.3516715314;0.219093942;0.3195314381;0.3076558672;0.303151742;0.29993276620000003;0.3057330414;0.2750141022;0.2390187402;0.37430582960000003;0.17319005680000002;0.11774557520000001;0.9959299407000001;1.0;0.9994142029;0.9993865687000001;0.26242475590000003;0.1368457622;0.2524113418;0.23079194690000002;0.23923292770000001
