;er es hand;er sie es;es augen vater;es er wasser;moment blick kopf;sie augen er;sie er es;sie es brand;sie es er;sie es tür;sie gesicht abtrünnigen;sie hand mutter;sie könig soldaten;sie quelle feuer;sie tür soldaten
Aquamarin_-_Andreas_Eschbach;0.0061337213000000005;0.0023478224;0.0070378166;0.4818008448;0.12875164220000002;0.1493480626;2.8253000000000003e-06;2.8253000000000003e-06;0.0019805337000000003;0.0010199325;2.8253000000000003e-06;0.2196132167;0.0001723432;0.0017827629000000001;2.8253000000000003e-06
Burning_Magic_1;0.1030886421;7.5795e-06;0.2478568992;0.0012202979;0.0667828855;0.1257513169;0.0106188654;7.5795e-06;0.0025846061;7.5795e-06;0.0024330163;0.1083942851;0.0002349642;0.3310039034;7.5795e-06
Burning_Magic_2;0.11002625690000001;6.4832e-06;0.2582968654;0.0047392136;0.0648384064;0.1102855846;0.0046095497;6.4832e-06;0.0028590878;6.4832e-06;0.0034425751000000003;0.1154721385;6.4832e-06;0.3253979059;6.4832e-06
Burning_Magic_3;0.1179072709;0.0023506185000000002;0.2691242249;0.0074096924;0.08452972210000001;0.0865656908;0.014134559000000001;6.1696e-06;0.0032760589;6.1696e-06;0.0050035475;0.0987198075;6.78656e-05;0.3106456489;0.0002529537
Der_verwaiste_Thron_I_-_Sturm_-_Claudia_Kern;0.2684485307;2.7121000000000003e-06;0.0747759109;2.98333e-05;0.0688092429;0.1922107861;2.7121000000000003e-06;2.98333e-05;0.0056439255;2.7121000000000003e-06;5.6954600000000005e-05;0.0226760506;0.0060507438;0.0003824092;0.3608776426
Der_verwaiste_Thron_II_-_Verrat_-_Claudia_Kern;0.26964853780000003;2.5552e-06;0.07198139840000001;0.0006924482;0.0541719367;0.1818532572;2.5552e-06;2.81068e-05;0.0044740843;2.5552e-06;2.5552e-06;0.0141070356;0.00013031310000000002;2.5552e-06;0.40290010600000004
Der_verwaiste_Thron_III_-_Rache_-_Claudia_Kern;0.277299081;2.6294e-06;0.0876668025;0.0006862732;0.0480680489;0.1758831495;2.6294e-06;2.6294e-06;0.0067338916;2.6294e-06;0.0001078054;0.0152794394;0.0006336852;2.89234e-05;0.38760238220000004
Die_Stadt_der_glasernen_Traume_-_Linda_Rottler;0.1398055499;3.1515000000000002e-06;0.19133325980000002;0.0029656009;0.1094877169;0.1329982194;0.012388711200000001;9.76978e-05;0.008764438000000001;0.0017680150000000002;0.0027449930000000003;0.07406438600000001;0.0013267991;0.32224831;3.1515000000000002e-06
Die_Tochter_der_Midgardschlange_-_Wolfgang_Hohlbein;0.1162255341;1.8098e-06;0.09886979580000001;0.000200885;0.1966881125;0.1416528671;0.0010152835;1.9907500000000002e-05;0.4187655528;1.8098e-06;1.8098e-06;0.0219724733;1.8098e-06;5.6103e-05;0.0045262463
Emba___Bittersusse_Luge_-_Carina_Zacharias;0.11011356580000001;3.355e-06;0.1746967943;0.0012782447;0.1419858085;0.11226074850000001;0.0041635214;3.355e-06;0.0074513948;0.0017143912;0.30091087510000003;0.1315518427;3.355e-06;0.0138593931;3.355e-06
